College, Branch, Branch Code
Indian Institute of Technology Kharagpur, Mining Safety Engineering, G5248
Indian Institute of Technology Kharagpur, Ocean Engineering and Naval Architecture, G5251
Indian Institute of Technology Kharagpur, Quality Engineering Design and Manufacturing, G5253
Indian Institute of Technology Kharagpur, Applied Geology, G5501
Indian Institute of Technology Kharagpur, Chemistry, G5503
Indian Institute of Technology Kharagpur, Economics, G5504
Indian Institute of Technology Kharagpur, Exploration Geophysics, G5505
Indian Institute of Technology Kharagpur, Mathematics and Computing, G5506
Indian Institute of Technology Kharagpur, Physics, G5507
Indian Institute of Technology Gandhinagar, Chemical Engineering, N4107
Indian Institute of Technology Gandhinagar, Electrical Engineering, N4111
Indian Institute of Technology Gandhinagar, Mechanical Engineering, N4125
Indian Institute of Technology Mandi, Computer Science and Engineering, C4110
Indian Institute of Technology Mandi, Electrical Engineering, C4111
Indian Institute of Technology Mandi, Mechanical Engineering, C4125
Indian Institute of Technology Rajasthan, Computer Science and Engineering, J4110
Indian Institute of Technology Rajasthan, Electrical Engineering, J4111
Indian Institute of Technology Rajasthan, Mechanical Engineering, J4125
Indian Institute of Technology Rajasthan, Systems Science, J4138
Indian Institute of Technology Madras, Aerospace Engineering, M4101
Indian Institute of Technology Madras, Chemical Engineering, M4107
Indian Institute of Technology Madras, Computer Science and Engineering, M4110
Indian Institute of Technology Madras, Electrical Engineering, M4111
Indian Institute of Technology Madras, Engineering Physics, M4117
Indian Institute of Technology Madras, Mechanical Engineering, M4125
Indian Institute of Technology Madras, Metallurgical and Materials Engineering, M4127
Indian Institute of Technology Madras, Naval Architecture and Ocean Engineering, M4132
Indian Institute of Technology Madras, Aerospace Engineering, M5201
Indian Institute of Technology Madras, Aerospace Engineering with M.Tech. in Applied Mechanics with specialization in Biomedical Engineering, M5202
Indian Institute of Technology Madras, Biological Engineering, M5207
Indian Institute of Technology Madras, Chemical Engineering, M5210
Indian Institute of Technology Madras, Civil Engineering with M.Tech. in Applied Mechanics in any of the listed specializations, M5212
Indian Institute of Technology Madras, Civil Engineering (Infrastructural Civil Engineering), M5213
Indian Institute of Technology Madras, Civil Engineering with any of the listed specialization, M5215
Indian Institute of Technology Madras, Computer Science and Engineering, M5216
Indian Institute of Technology Madras, Electrical Engineering, M5217
Indian Institute of Technology Madras, Electrical Engineering with M.Tech in Applied Mechanics with specialization in Biomedical Engineering, M5218
Indian Institute of Technology Madras, Engineering Design (Automotive Engineering), M5227
Indian Institute of Technology Madras, Engineering Design (Biomedical Design), M5228
Indian Institute of Technology Madras, Mechanical Engineering (Thermal Engineering), M5236
Indian Institute of Technology Madras, Mechanical Engineering (Intelligent Manufacturing), M5237
Indian Institute of Technology Madras, Mechanical Engineering (Product design), M5238
Indian Institute of Technology Madras, Metallurgical and Materials Engineering, M5241
Indian Institute of Technology Madras, Naval Architecture and Ocean Engineering, M5249
Indian Institute of Technology Madras, Naval Architecture and Ocean Engineering with M.Tech in Applied Mechanics in any of the listed specializations, M5250
Indian Institute of Technology Madras, Biological Sciences, M5601
Indian Institute of Technology Madras, Physics, M5602
Indian Institute of Technology Patna, Computer Science and Engineering, P4110
Indian Institute of Technology Patna, Electrical Engineering, P4111
Indian Institute of Technology Patna, Mechanical Engineering, P4125
Indian Institute of Technology Roorkee, Biotechnology, R4104
Indian Institute of Technology Roorkee, Chemical Engineering, R4107
Indian Institute of Technology Roorkee, Civil Engineering, R4109
Indian Institute of Technology Roorkee, Computer Science and Engineering, R4110
Indian Institute of Technology Roorkee, Electrical Engineering, R4111
Indian Institute of Technology Roorkee, Electronics and Communication Engineering, R4114
Indian Institute of Technology Roorkee, Mechanical Engineering, R4125
Indian Institute of Technology Roorkee, Metallurgical and Materials Engineering, R4127
Indian Institute of Technology Roorkee, Polymer Science and Technology, R4135
Indian Institute of Technology Roorkee, Production and Industrial Engineering, R4136
Indian Institute of Technology Roorkee, Pulp and Paper Engineering, R4137
Indian Institute of Technology Roorkee, Architecture, R5101
Indian Institute of Technology Roorkee, Chemical Engineering with M.Tech. in Hydrocarbon Engineering, R5211
Indian Institute of Technology Roorkee, Civil Engineering with M.Tech. in Structural Engineering, R5214
Indian Institute of Technology Roorkee, Electrical Engineering with M.Tech. in Power Electronics, R5223
Indian Institute of Technology Roorkee, Electronics and Communication Engineering with M.Tech. in Wireless Communication, R5224
Indian Institute of Technology Roorkee, Metallurgical and Materials Engineering with M.Tech. in Materials Engineering, R5242
Indian Institute of Technology Roorkee, Geological Technology, R5302
Indian Institute of Technology Roorkee, Geophysical Technology, R5303
Indian Institute of Technology Roorkee, Process Engineering with MBA, R5403
Indian Institute of Technology Roorkee, Applied Mathematics, R5502
Indian Institute of Technology Roorkee, Chemistry, R5503
Indian Institute of Technology Roorkee, Physics, R5507
Indian Institute of Technology Ropar, Computer Science and Engineering, U4110
Indian Institute of Technology Ropar, Electrical Engineering, U4111
Indian Institute of Technology Ropar, Mechanical Engineering, U4125
Indian School of Mines,  Dhanbad, Chemical Engineering, S4107
Indian School of Mines,  Dhanbad, Computer Science and Engineering, S4110
Indian School of Mines,  Dhanbad, Electrical Engineering, S4111
Indian School of Mines,  Dhanbad, Electronics and Communication Engineering, S4114
Indian School of Mines,  Dhanbad, Environmental Engineering, S4119
Indian School of Mines,  Dhanbad, Mechanical Engineering, S4125
Indian School of Mines,  Dhanbad, Mineral Engineering, S4129
Indian School of Mines,  Dhanbad, Mining Engineering, S4130
Indian School of Mines,  Dhanbad, Mining Machinery Engineering, S4131
Indian School of Mines,  Dhanbad, Petroleum Engineering, S4134
Indian School of Mines,  Dhanbad, Mineral Engineering with M.Tech in Mineral Engineering, S5246
Indian School of Mines,  Dhanbad, Mining Engineering with M.Tech. in Mining Engineering, S5247
Indian School of Mines,  Dhanbad, Petroleum Engineering with M.Tech in Petroleum Management, S5252
Indian School of Mines,  Dhanbad, Mathematics and Computing, S5305
Indian School of Mines,  Dhanbad, Mineral Engineering with MBA, S5401
Indian School of Mines,  Dhanbad, Mining Engineering with MBA, S5402
Indian School of Mines,  Dhanbad, Applied Geology, S5701
Indian School of Mines,  Dhanbad, Applied Geophysics, S5702
Institute of Technology,  Banaras Hindu University, Varanasi, Ceramic Engineering, V4106
Institute of Technology,  Banaras Hindu University, Varanasi, Chemical Engineering, V4107
Institute of Technology,  Banaras Hindu University, Varanasi, Civil Engineering, V4109
Institute of Technology,  Banaras Hindu University, Varanasi, Computer Science and Engineering, V4110
Institute of Technology,  Banaras Hindu University, Varanasi, Electrical Engineering, V4111
Institute of Technology,  Banaras Hindu University, Varanasi, Electronics Engineering, V4113
Institute of Technology,  Banaras Hindu University, Varanasi, Mechanical Engineering, V4125
Institute of Technology,  Banaras Hindu University, Varanasi, Metallurgical Engineering, V4126
Institute of Technology,  Banaras Hindu University, Varanasi, Mining Engineering, V4130
Institute of Technology,  Banaras Hindu University, Varanasi, Pharmaceutics, V4301
Institute of Technology,  Banaras Hindu University, Varanasi, Biochemical Engineering, V5204
Institute of Technology,  Banaras Hindu University, Varanasi, Bioengineering with M.Tech in Biomedical Technology, V5206
Institute of Technology,  Banaras Hindu University, Varanasi, Ceramic Engineering, V5209
Institute of Technology,  Banaras Hindu University, Varanasi, Civil Engineering with M.Tech. in Structural Engineering, V5214
Institute of Technology,  Banaras Hindu University, Varanasi, Computer Science and Engineering, V5216
Institute of Technology,  Banaras Hindu University, Varanasi, Electrical Engineering with M.Tech. in Power Electronics, V5223
Institute of Technology,  Banaras Hindu University, Varanasi, Material Science and Technology, V5232
Institute of Technology,  Banaras Hindu University, Varanasi, Mechanical Engineering, V5233
Institute of Technology,  Banaras Hindu University, Varanasi, Metallurgical Engineering, V5240
Institute of Technology,  Banaras Hindu University, Varanasi, Mining Engineering, V5247
Institute of Technology,  Banaras Hindu University, Varanasi, Engineering Physics, V5301
Institute of Technology,  Banaras Hindu University, Varanasi, Industrial Chemistry, V5304
Institute of Technology,  Banaras Hindu University, Varanasi, Mathematics and Computing, V5305
Institute of Technology,  Banaras Hindu University, Varanasi, Pharmaceutics, V5801



